"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"593","Golden State Warriors","2/10/17",2016,3,10,33,"y","Jump Shot","2PT Field Goal",13,"Memphis Grizzlies",109,87
"594","Golden State Warriors","2/10/17",2016,4,3,42,"n","Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",158,210
"595","Golden State Warriors","2/10/17",2016,3,9,2,"n","Jump Shot","2PT Field Goal",21,"Memphis Grizzlies",151,154
"596","Golden State Warriors","2/10/17",2016,1,8,6,"n","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",99,232
"597","Golden State Warriors","12/25/16",2016,4,10,5,"y","Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-7,-1
"598","Golden State Warriors","12/13/16",2016,1,0,17,"n","Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",20,0
"599","Golden State Warriors","2/2/17",2016,2,0,33,"y","Layup Shot","2PT Field Goal",3,"Los Angeles Clippers",17,26
"600","Golden State Warriors","10/28/16",2016,1,6,26,"n","Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-22,2
"601","Golden State Warriors","10/28/16",2016,1,3,2,"y","Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-20,3
"602","Golden State Warriors","10/28/16",2016,4,0,37,"y","Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",15,8
"603","Golden State Warriors","12/7/16",2016,2,10,51,"n","Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-4,16
"604","Golden State Warriors","11/23/16",2016,2,0,42,"y","Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",0,7
"605","Golden State Warriors","11/4/16",2016,1,5,56,"y","Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-5,-11
"606","Golden State Warriors","11/10/16",2016,4,8,4,"n","Layup Shot","2PT Field Goal",1,"Denver Nuggets",15,11
"607","Golden State Warriors","2/23/17",2016,2,5,50,"n","Layup Shot","2PT Field Goal",0,"Los Angeles Clippers",9,2
"608","Golden State Warriors","12/28/16",2016,1,6,26,"y","Layup Shot","2PT Field Goal",1,"Toronto Raptors",1,13
"609","Golden State Warriors","1/8/17",2016,4,4,34,"n","Layup Shot","2PT Field Goal",2,"Sacramento Kings",5,21
"610","Golden State Warriors","12/8/16",2016,2,9,26,"y","Layup Shot","2PT Field Goal",1,"Utah Jazz",10,7
"611","Golden State Warriors","2/28/17",2016,1,11,40,"n","Layup Shot","2PT Field Goal",2,"Washington Wizards",25,-10
"612","Golden State Warriors","12/15/16",2016,1,10,37,"n","Layup Shot","2PT Field Goal",0,"New York Knicks",2,0
"613","Golden State Warriors","12/20/16",2016,3,11,25,"n","Layup Shot","2PT Field Goal",1,"Utah Jazz",9,16
"614","Golden State Warriors","10/25/16",2016,2,0,46,"n","Layup Shot","2PT Field Goal",1,"San Antonio Spurs",15,11
"615","Golden State Warriors","12/11/16",2016,1,5,33,"y","Layup Shot","2PT Field Goal",0,"Minnesota Timberwolves",6,3
"616","Golden State Warriors","12/5/16",2016,2,1,43,"y","Layup Shot","2PT Field Goal",1,"Indiana Pacers",-9,16
"617","Golden State Warriors","11/4/16",2016,2,7,16,"y","Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",-7,-2
"618","Golden State Warriors","11/13/16",2016,3,7,16,"n","Layup Shot","2PT Field Goal",1,"Phoenix Suns",0,16
"619","Golden State Warriors","12/22/16",2016,2,8,25,"n","Layup Shot","2PT Field Goal",1,"Brooklyn Nets",11,-1
