"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"701","Golden State Warriors","2/15/17",2016,3,5,6,"y","Jump Shot","3PT Field Goal",30,"Sacramento Kings",-147,264
"702","Golden State Warriors","2/10/17",2016,4,7,16,"n","Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",112,223
"703","Golden State Warriors","2/10/17",2016,3,3,53,"y","Jump Shot","3PT Field Goal",27,"Memphis Grizzlies",181,213
"704","Golden State Warriors","2/10/17",2016,1,11,40,"n","Jump Shot","3PT Field Goal",22,"Memphis Grizzlies",227,-6
"705","Golden State Warriors","2/10/17",2016,1,9,55,"n","Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-130,213
"706","Golden State Warriors","2/10/17",2016,1,10,20,"y","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",192,164
"707","Golden State Warriors","2/10/17",2016,3,4,18,"y","Jump Shot","2PT Field Goal",10,"Memphis Grizzlies",35,100
"708","Golden State Warriors","2/10/17",2016,4,7,50,"y","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",173,190
"709","Golden State Warriors","2/10/17",2016,2,11,31,"n","Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",236,26
"710","Golden State Warriors","2/10/17",2016,1,10,42,"y","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",146,210
"711","Golden State Warriors","2/10/17",2016,4,3,6,"n","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-63,247
